@RELATION realfile

@ATTRIBUTE weight {100_BEG,40_END,40_MID,50_BEG,50_END,50_MID,60_BEG,60_END,60_MID,70_BEG,70_MID,77_END,80_BEG,80_END,80_MID,90_BEG,90_END,90_MID}
@ATTRIBUTE age {fifty,fourty,sixty,teen,thirty,twenty}
@ATTRIBUTE height {140_END,150_BEG,150_END,150_MID,160_BEG,160_END,160_MID,170_BEG,170_END,170_MID,180_BEG,180_MID}
@ATTRIBUTE size {L,M,S,XL,XS,XXL}

@DATA
70_MID,thirty,150_END,L
70_MID,fourty,160_END,XXL
77_END,thirty,160_END,XXL
77_END,thirty,170_BEG,XXL
77_END,thirty,170_MID,XXL
77_END,twenty,170_BEG,XXL
77_END,fourty,160_END,XXL
77_END,thirty,170_BEG,XXL
77_END,fourty,170_BEG,XXL
77_END,fifty,160_BEG,L
77_END,twenty,170_END,XXL
77_END,thirty,160_BEG,L
77_END,thirty,160_END,XXL
77_END,twenty,160_END,XXL
77_END,twenty,160_BEG,L
77_END,thirty,170_MID,XXL
77_END,thirty,170_END,XXL
80_BEG,twenty,160_MID,XXL
80_BEG,thirty,180_MID,XXL
80_BEG,fourty,170_BEG,XXL
80_BEG,fifty,160_BEG,XXL
80_BEG,thirty,160_BEG,XXL
80_BEG,fifty,160_MID,XXL
80_BEG,thirty,170_BEG,XXL
80_BEG,thirty,180_BEG,XXL
80_END,thirty,160_BEG,XXL
80_MID,fourty,170_BEG,XXL
90_BEG,fifty,160_BEG,XXL
90_BEG,thirty,160_MID,XXL
90_END,fourty,170_BEG,XXL
90_MID,fourty,170_BEG,XXL
90_MID,thirty,160_BEG,XXL
90_MID,twenty,170_MID,XXL
